"time","kWh.mean_value"
"2024-01-01T14:12:00.000+04:00",
"2024-01-02T01:36:00.000+04:00",
"2024-01-02T13:00:00.000+04:00",
"2024-01-03T00:24:00.000+04:00",
"2024-01-03T11:48:00.000+04:00","0.034777777777777776"
"2024-01-03T23:12:00.000+04:00","0.1346"
"2024-01-04T10:36:00.000+04:00","0.32607692307692304"
"2024-01-04T22:00:00.000+04:00","0.4105"
"2024-01-05T09:24:00.000+04:00","0.42460000000000003"
"2024-01-05T20:48:00.000+04:00","0.4355"
"2024-01-06T08:12:00.000+04:00","0.438"
"2024-01-06T19:36:00.000+04:00","0.4405"
"2024-01-07T07:00:00.000+04:00","0.4423333333333333"
"2024-01-07T18:24:00.000+04:00","0.4445"
"2024-01-08T05:48:00.000+04:00","0.7427714285714285"
"2024-01-08T17:12:00.000+04:00","0.9875999999999999"
"2024-01-09T04:36:00.000+04:00","1.305090909090909"
"2024-01-09T16:00:00.000+04:00","1.63"
"2024-01-10T03:24:00.000+04:00","1.8747187500000002"
"2024-01-10T14:48:00.000+04:00","1.8191111111111111"
"2024-01-11T02:12:00.000+04:00","2.1364074074074075"
"2024-01-11T13:36:00.000+04:00","2.4643333333333333"
"2024-01-12T01:00:00.000+04:00","2.5425"
"2024-01-12T12:24:00.000+04:00","2.5766666666666667"
"2024-01-12T23:48:00.000+04:00","2.601"
"2024-01-13T11:12:00.000+04:00","2.603"
"2024-01-13T22:36:00.000+04:00","2.6055"
"2024-01-14T10:00:00.000+04:00","2.619285714285714"
"2024-01-14T21:24:00.000+04:00","2.66325"
"2024-01-15T08:48:00.000+04:00","2.9760357142857146"
"2024-01-15T20:12:00.000+04:00","3.202666666666667"
"2024-01-16T07:36:00.000+04:00","3.449310344827586"
"2024-01-16T19:00:00.000+04:00","3.6215"
"2024-01-17T06:24:00.000+04:00","3.906333333333333"
"2024-01-17T17:48:00.000+04:00","4.142"
"2024-01-18T05:12:00.000+04:00","4.464193548387097"
"2024-01-18T16:36:00.000+04:00","4.739166666666667"
"2024-01-19T04:00:00.000+04:00","4.765"
"2024-01-19T15:24:00.000+04:00","4.7675"
"2024-01-20T02:48:00.000+04:00","4.7695"
"2024-01-20T14:12:00.000+04:00","4.771"
"2024-01-21T01:36:00.000+04:00","4.78425"
"2024-01-21T13:00:00.000+04:00","4.8378"
"2024-01-22T00:24:00.000+04:00","4.971769230769231"
"2024-01-22T11:48:00.000+04:00","5.26847619047619"
"2024-01-22T23:12:00.000+04:00","5.5120588235294115"
"2024-01-23T10:36:00.000+04:00","5.850952380952381"
"2024-01-23T22:00:00.000+04:00","6.08"
"2024-01-24T09:24:00.000+04:00","6.421533333333335"
"2024-01-24T20:48:00.000+04:00","6.6656"
"2024-01-25T08:12:00.000+04:00","6.893666666666667"
"2024-01-25T19:36:00.000+04:00","7.093"
"2024-01-26T07:00:00.000+04:00","7.0953333333333335"
"2024-01-26T18:24:00.000+04:00","7.0975"
"2024-01-27T05:48:00.000+04:00","7.0995"
"2024-01-27T17:12:00.000+04:00","7.1015"
"2024-01-28T04:36:00.000+04:00","7.132000000000001"
"2024-01-28T16:00:00.000+04:00","7.17075"
"2024-01-29T03:24:00.000+04:00","7.487225806451614"
"2024-01-29T14:48:00.000+04:00","7.825444444444445"
"2024-01-30T02:12:00.000+04:00","7.8955"
"2024-01-30T13:36:00.000+04:00",
"2024-01-31T01:00:00.000+04:00","7.896"
"2024-01-31T12:24:00.000+04:00","7.88"
"2024-01-31T23:48:00.000+04:00","7.881"
"2024-02-01T11:12:00.000+04:00","7.881"
"2024-02-01T22:36:00.000+04:00","7.882"
"2024-02-02T10:00:00.000+04:00","7.883"
"2024-02-02T21:24:00.000+04:00",
"2024-02-03T08:48:00.000+04:00","7.884"
"2024-02-03T20:12:00.000+04:00","7.885"
