"time","kWh.mean_value"
"2024-01-01T14:12:00.000+04:00",
"2024-01-02T01:36:00.000+04:00",
"2024-01-02T13:00:00.000+04:00",
"2024-01-03T00:24:00.000+04:00",
"2024-01-03T11:48:00.000+04:00",
"2024-01-03T23:12:00.000+04:00",
"2024-01-04T10:36:00.000+04:00",
"2024-01-04T22:00:00.000+04:00",
"2024-01-05T09:24:00.000+04:00",
"2024-01-05T20:48:00.000+04:00",
"2024-01-06T08:12:00.000+04:00",
"2024-01-06T19:36:00.000+04:00",
"2024-01-07T07:00:00.000+04:00",
"2024-01-07T18:24:00.000+04:00",
"2024-01-08T05:48:00.000+04:00",
"2024-01-08T17:12:00.000+04:00",
"2024-01-09T04:36:00.000+04:00",
"2024-01-09T16:00:00.000+04:00","0.001"
"2024-01-10T03:24:00.000+04:00","0.01257142857142857"
"2024-01-10T14:48:00.000+04:00","0.09215384615384613"
"2024-01-11T02:12:00.000+04:00","0.24025641025641029"
"2024-01-11T13:36:00.000+04:00","0.41044444444444445"
"2024-01-12T01:00:00.000+04:00","0.5297727272727273"
"2024-01-12T12:24:00.000+04:00","0.6278846153846154"
"2024-01-12T23:48:00.000+04:00","0.7306800000000001"
"2024-01-13T11:12:00.000+04:00","0.8259565217391303"
"2024-01-13T22:36:00.000+04:00","0.9249166666666667"
"2024-01-14T10:00:00.000+04:00","1.0326176470588235"
"2024-01-14T21:24:00.000+04:00","1.149787878787879"
"2024-01-15T08:48:00.000+04:00","1.352479166666667"
"2024-01-15T20:12:00.000+04:00","1.5143333333333335"
"2024-01-16T07:36:00.000+04:00","1.6802666666666661"
"2024-01-16T19:00:00.000+04:00","1.8213199999999998"
"2024-01-17T06:24:00.000+04:00","1.9277045454545456"
"2024-01-17T17:48:00.000+04:00","1.9643636363636359"
"2024-01-18T05:12:00.000+04:00","2.084418604651163"
"2024-01-18T16:36:00.000+04:00","2.0796923076923073"
"2024-01-19T04:00:00.000+04:00","2.1727727272727275"
"2024-01-19T15:24:00.000+04:00","2.2590833333333338"
"2024-01-20T02:48:00.000+04:00","2.3567916666666666"
"2024-01-20T14:12:00.000+04:00","2.450923076923077"
"2024-01-21T01:36:00.000+04:00","2.550821428571428"
"2024-01-21T13:00:00.000+04:00","2.656142857142857"
"2024-01-22T00:24:00.000+04:00","2.7905555555555557"
"2024-01-22T11:48:00.000+04:00","2.992775000000001"
"2024-01-22T23:12:00.000+04:00","3.1652"
"2024-01-23T10:36:00.000+04:00","3.3720714285714295"
"2024-01-23T22:00:00.000+04:00","3.521642857142857"
"2024-01-24T09:24:00.000+04:00","3.7008444444444426"
"2024-01-24T20:48:00.000+04:00","3.8399642857142866"
"2024-01-25T08:12:00.000+04:00","4.0025"
"2024-01-25T19:36:00.000+04:00","4.136913043478262"
"2024-01-26T07:00:00.000+04:00","4.22647619047619"
"2024-01-26T18:24:00.000+04:00","4.311761904761904"
"2024-01-27T05:48:00.000+04:00","4.412344827586207"
"2024-01-27T17:12:00.000+04:00","4.501952380952382"
"2024-01-28T04:36:00.000+04:00","4.608299999999999"
"2024-01-28T16:00:00.000+04:00","4.710304347826087"
"2024-01-29T03:24:00.000+04:00","4.862236842105264"
"2024-01-29T14:48:00.000+04:00","5.033724137931035"
"2024-01-30T02:12:00.000+04:00","5.109444444444445"
"2024-01-30T13:36:00.000+04:00",
"2024-01-31T01:00:00.000+04:00","5.515874999999999"
"2024-01-31T12:24:00.000+04:00","5.681416666666667"
"2024-01-31T23:48:00.000+04:00","5.8297741935483876"
"2024-02-01T11:12:00.000+04:00","6.009947368421054"
"2024-02-01T22:36:00.000+04:00","6.146333333333333"
"2024-02-02T10:00:00.000+04:00","6.220058823529412"
"2024-02-02T21:24:00.000+04:00",
"2024-02-03T08:48:00.000+04:00",
"2024-02-03T20:12:00.000+04:00",
