entity_id,activePower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,62.712328767,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,62.712328767,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,62.712328767,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,58.186666667,2024-01-02T01:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,58.186666667,2024-01-02T01:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,58.186666667,2024-01-02T01:36:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-01T14:12:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T09:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,51.240506329,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,51.240506329,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,51.240506329,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T13:00:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,66.364864865,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,66.364864865,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,66.364864865,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,1.5,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,28.5,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,28.5,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Lab:Desktop,28.5,2024-01-03T00:24:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.466666667,2024-01-03T11:48:00.000Z,WTT
urn:ngsi-ld:EnergyDevice:Kitchen:CoffeeMachine,0.466666667,2024-01-03T11:48:00.000Z,WTT
