entity_id,apparentPower,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.320987654,2024-01-01T10:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.320987654,2024-01-01T10:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.320987654,2024-01-01T14:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.411764706,2024-01-01T10:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.411764706,2024-01-01T10:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.411764706,2024-01-01T14:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.320987654,2024-01-01T14:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,70.320987654,2024-01-01T14:12:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,65.213483146,2024-01-02T01:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.413333333,2024-01-02T01:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T09:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,65.213483146,2024-01-02T01:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,65.213483146,2024-01-02T01:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,54.326530612,2024-01-02T13:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.413333333,2024-01-02T01:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.413333333,2024-01-02T01:36:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,10.476683938,2024-01-02T13:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T09:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T09:00:00.000Z,VA
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0,2024-01-02T13:00:00.000Z,VA
