entity_id,dailyEnergyConsumed,observedAt,unit
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.98986087,2024-01-01T10:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.98986087,2024-01-01T14:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.98986087,2024-01-01T14:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.018,2024-01-01T10:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.018,2024-01-01T14:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.018,2024-01-01T14:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.98986087,2024-01-01T14:12:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.425652542,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.425652542,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.006583333,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.058,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.425652542,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.838476636,2024-01-02T13:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Fridge,0.838476636,2024-01-02T13:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.006583333,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.0165,2024-01-02T13:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Kitchen:Microwave,0.0165,2024-01-02T13:00:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.058,2024-01-02T01:36:00.000Z,KWH
urn:ngsi-ld:EnergyDevice:Lab:Desktop,0.058,2024-01-02T13:00:00.000Z,KWH
